Scenario,Mean_ms,Median_ms,P99_ms,Max_ms,FPR (%),FNR (%)
Baseline (Optimal),0.0151,0.0139,0.0311,1.2919,N/A,N/A
Native Parser (1.0%),0.0173,0.015,0.143,1.6326,N/A,N/A
Native Parser (5.0%),0.0235,0.015,0.1731,4.8314,N/A,N/A
Native Parser (10.0%),0.0303,0.015,0.1787,1.7783,N/A,N/A
Filter Admitted (1.0%),0.0167,0.0157,0.033,1.8658,0.0,0.01
  -> Blocked CPU Cost,0.0009,0.0008,0.0016,0.2705,N/A,N/A
Filter Admitted (5.0%),0.0186,0.0172,0.0456,3.4072,0.0,0.0
  -> Blocked CPU Cost,0.0009,0.0008,0.0019,0.1293,N/A,N/A
Filter Admitted (10.0%),0.0169,0.0158,0.037,2.4289,0.0,0.0
  -> Blocked CPU Cost,0.0007,0.0006,0.0013,0.1118,N/A,N/A
