update,step,reward,batch_mean_reward,loss,mean_q,mean_target_q,avg_leakage_rate,lambda_penalty,replay_size,avg_inspection_rate,avg_target_sampling_rate,avg_attack_intensity,avg_fpr,avg_fnr,tp,tn,fp,fn
1,32,-2.0,-2.0,26.237125396728516,-7.000076770782471,-1.8801189661026,0.0,9.9995,32.0,1.0,1.0,0.010375,0.0,0.0,332,31668,0,0
2,64,-2.0,-2.0,25.831645965576172,-6.962235450744629,-1.8818657398223877,0.0,9.998999999999999,64.0,1.0,1.0,0.010624999999999999,0.0,0.0,340,31660,0,0
3,96,-2.0,-2.0,25.448486328125,-6.926417350769043,-1.8836820125579834,0.0,9.998499999999998,96.0,1.0,1.0,0.00975,0.0,0.0,312,31688,0,0
4,128,-2.0,-1.7989580780267715,24.366928100585938,-6.797399044036865,-1.8692877292633057,0.0,9.997999999999998,128.0,0.9015625,0.8994790390133858,0.00096875,0.0,0.0,31,31969,0,0
5,160,-0.9480000138282776,-1.682125000283122,22.894794464111328,-6.562429904937744,-1.7957359552383423,0.0,9.997499999999997,160.0,0.854125,0.841062500141561,0.00621875,0.0,0.0,199,31801,0,0
6,192,-1.8480000495910645,-1.3261250108480453,21.433155059814453,-6.348566055297852,-1.7682721614837646,0.0,9.996999999999996,192.0,0.65371875,0.6630625054240227,0.0,0.0,0.0,0,32000,0,0
7,224,-2.0,-1.924791682511568,20.958717346191406,-6.2209978103637695,-1.679138422012329,0.0,9.996499999999996,224.0,0.9655625,0.962395841255784,0.0030625,0.0,0.0,98,31902,0,0
8,256,-2.0,-1.8083068951964378,20.319747924804688,-6.221325397491455,-1.7375614643096924,0.0078125,9.996390624999997,256.0,0.8675937499999999,0.8666665740311146,0.00590625,0.0,0.0078125,187,31811,0,2
9,288,-1.7766660451889038,-1.6496873442083597,19.867830276489258,-6.11829948425293,-1.7067618370056152,0.0,9.995890624999996,288.0,0.84134375,0.8248436721041799,0.0041875,0.0,0.0,134,31866,0,0
10,320,-2.0,-1.9523957595229149,18.678712844848633,-5.99549674987793,-1.7114077806472778,0.0,9.995390624999995,320.0,0.97778125,0.9761978797614574,0.0034375,0.0,0.0,110,31890,0,0
11,352,-0.9426659941673279,-1.9008749574422836,19.428081512451172,-6.217260360717773,-1.822044014930725,0.0,9.994890624999995,352.0,0.96403125,0.9504374787211418,0.0089375,0.0,0.0,286,31714,0,0
