update,step,rollout_steps,reward_mean,reward_std,reward_min,reward_max,actor_loss,critic_loss,total_loss,entropy,approx_kl,clip_fraction,explained_variance,grad_norm,value_mean,return_mean,advantage_mean,advantage_std,learning_rate,lambda_penalty,leakage_target,packet_count,malware_count,inspected_count,inspection_rate,target_sampling_rate_mean,attack_rate,detected_anomaly_rate,fpr,fnr,precision,recall,avg_sq,avg_processing_latency_ticks,tp,tn,fp,fn,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_0_fraction,action_1_fraction,action_2_fraction,action_3_fraction,action_4_fraction
1,200,200,-0.37488880835473537,0.4367729127407074,-2.0,-0.10000000149011612,-0.01088090930134058,19.04724063873291,9.497047632932663,1.5691861867904664,0.046287001203745605,0.31796875,0.0659450888633728,25.288550090789794,-0.3717055320739746,-4.911305904388428,-8.106231774718253e-08,0.9999999403953552,0.0003,9.9995,0.01,20000,0,3707,0.18535,0.18744440417736769,0.0,0.0,0.0,0.0,0.0,0.0,15.5694,1159.2029,0,20000,0,0,59,48,36,22,35,0.295,0.24,0.18,0.11,0.175
2,400,200,-0.6480000025033951,0.4928447902202606,-2.0,-0.10000000149011612,0.03700993675738573,136.3773448944092,68.21011047363281,1.557164579629898,0.006296485383063555,0.11015625,0.01035529375076294,77.64944877624512,-3.74750018119812,-13.559759140014648,-1.3232231310666975e-07,1.0,0.0003,9.998999999999999,0.01,20000,0,6449,0.32245,0.32400000125169753,0.0,0.0,0.0,0.0,0.0,0.0,27.0858,2020.9562,0,20000,0,0,52,35,36,39,38,0.26,0.175,0.18,0.195,0.19
3,600,200,-1.1454999989271164,0.5621207356452942,-2.0,-0.10000000149011612,-0.013161477632820606,342.23120498657227,171.08707809448242,1.5364487051963807,0.0017197879031300544,0.0,0.0015527009963989258,144.07748985290527,-5.059333324432373,-22.563472747802734,-2.193450825416221e-07,0.9999999403953552,0.0003,9.998499999999998,0.01,20000,0,11516,0.5758,0.5727499994635582,0.0,0.0,0.0,0.0,0.0,0.0,48.3672,3333.94745,0,20000,0,0,47,25,32,62,34,0.235,0.125,0.16,0.31,0.17
4,800,200,-0.4825000026077032,0.33711087703704834,-1.399999976158142,-0.10000000149011612,0.026300356909632682,44.72977962493896,22.375671195983887,1.5518693268299102,0.008340248512104154,0.1875,0.02327054738998413,49.67181205749512,-5.721475601196289,-11.693835258483887,5.2452087118126656e-08,0.9999998807907104,0.0003,9.997999999999998,0.01,20000,0,4802,0.2401,0.2412500013038516,0.0,0.0,0.0,0.0,0.0,0.0,20.1684,1408.35875,0,20000,0,0,51,45,22,56,26,0.255,0.225,0.11,0.28,0.13
5,1000,200,-0.34750000566244127,0.24247422814369202,-1.100000023841858,-0.10000000149011612,0.01682162992656231,19.883342099189758,9.943353348970414,1.5139257431030273,0.004927637707442045,0.05078125,0.0026956796646118164,33.25977787971497,-6.4532341957092285,-10.517329216003418,-1.668930060816365e-08,0.9999999403953552,0.0003,9.997499999999997,0.01,20000,0,3577,0.17885,0.17375000283122063,0.0,0.0,0.0,0.0,0.0,0.0,15.0234,1056.4277,0,20000,0,0,59,34,38,46,23,0.295,0.17,0.19,0.23,0.115
6,1200,200,-0.2305000041425228,0.18899670243263245,-1.0,-0.10000000149011612,-0.05714198723435402,5.652568721771241,2.7551721572875976,1.3970225989818572,0.012928723962977529,0.29609375,0.0019423961639404297,16.9682186126709,-7.14488410949707,-9.431681632995605,-9.775161657898934e-08,1.0,0.0003,9.996999999999996,0.01,20000,0,2199,0.10995,0.1152500020712614,0.0,0.0,0.0,0.0,0.0,0.0,9.2358,682.7176,0,20000,0,0,81,22,37,45,15,0.405,0.11,0.185,0.225,0.075
7,1400,200,-0.20100000321865083,0.1774795800447464,-0.8999999761581421,-0.10000000149011612,0.010288941487669945,4.026139032840729,2.01035595536232,1.3002517879009248,0.008027785830199719,0.08125,-0.010581612586975098,11.418123030662537,-7.834419250488281,-9.39887809753418,-5.0067900048134106e-08,1.0,0.0003,9.996499999999996,0.01,20000,0,2072,0.1036,0.10050000160932542,0.0,0.0,0.0,0.0,0.0,0.0,8.7024,672.66175,0,20000,0,0,93,29,31,27,20,0.465,0.145,0.155,0.135,0.1
8,1600,200,-0.12650000236928463,0.05956299230456352,-0.4000000059604645,-0.10000000149011612,-0.062368894647806886,0.17572068572044372,0.014167455257847905,1.132399672269821,0.016468495689332487,0.221875,-7.963180541992188e-05,3.513023442029953,-8.531926155090332,-9.192310333251953,1.9550323315797868e-07,0.9999998807907104,0.0003,9.995999999999995,0.01,20000,0,1216,0.0608,0.06325000118464232,0.0,0.0,0.0,0.0,0.0,0.0,5.1072,406.8507,0,20000,0,0,109,31,27,24,9,0.545,0.155,0.135,0.12,0.045
9,1800,200,-0.11300000198185443,0.043943148106336594,-0.30000001192092896,-0.10000000149011612,0.07099939230829477,0.053774427506141365,0.08806700962595641,0.9819599360227584,0.01271577375009656,0.171875,-0.010683894157409668,1.8485710859298705,-9.17910099029541,-9.509298324584961,-1.275539318612573e-07,0.9999998807907104,0.0003,9.995499999999995,0.01,20000,0,1146,0.0573,0.05650000099092722,0.0,0.0,0.0,0.0,0.0,0.0,4.8132,388.71685,0,20000,0,0,129,26,30,11,4,0.645,0.13,0.15,0.055,0.02
10,2000,200,-0.15547772850841285,0.6979479193687439,-9.995545387268066,-0.10000000149011612,-0.013803275581449271,3.8329916536808013,1.8922377869486808,1.0454755961894988,0.0006814227439463138,0.0,0.00018733739852905273,7.008825936913491,-9.565292358398438,-10.556139945983887,-4.0531158873591266e-08,1.0,0.0003,9.995249999999995,0.01,20000,7,1079,0.05395,0.053000000789761546,0.00035,0.0,0.0,1.0,0.0,0.0,4.5318,368.02025,0,19993,0,7,135,34,20,11,0,0.675,0.17,0.1,0.055,0.0
