total_size_bytes,flood_size_bytes,median_latency_ns,mean_latency_ns,min_latency_ns,max_latency_ns,amp_vs_normal,valid_runs,crashed_runs
# normal_baseline,325,29495,32603,26127,245027
# poc_baseline,353,178727,184739,158539,742243
# poc_vs_normal_ratio_median,6.05957
353,289,178480,184029,14373,1157113,6.0512,10000,0
388,324,198206,205526,15104,720265,6.71999,10000,0
427,363,219870,229431,15738,816462,7.45448,10000,0
469,405,243139,252521,15832,8464158,8.2434,10000,0
516,452,268810,276994,15691,734821,9.11375,10000,0
568,504,297259,306136,15223,7807125,10.0783,10000,0
625,561,336282,358852,15627,2660404,11.4013,10000,0
687,623,361838,370718,15821,1167342,12.2678,10000,0
756,692,400622,413038,15994,8338251,13.5827,10000,0
832,768,482314,494041,15659,1140380,16.3524,10000,0
915,851,487809,500460,15613,1461541,16.5387,10000,0
1007,943,538998,556386,14778,5251105,18.2742,10000,0
1107,1043,592702,606240,15879,1397289,20.095,10000,0
1218,1154,652119,961627,16003,2961570410,22.1095,10000,0
1340,1276,721430,1038224,15730,2950712173,24.4594,10000,0
1400,1336,753536,769401,16009,5264651,25.5479,10000,0
