total_size_bytes,flood_size_bytes,median_latency_ns,mean_latency_ns,min_latency_ns,max_latency_ns,amp_vs_normal,valid_runs,crashed_runs
# normal_baseline,325,29173,32078,24297,290848
# poc_baseline,353,18428,21365,15139,11520540
# poc_vs_normal_ratio_median,0.63168
353,289,25696,28365,15385,301011,0.880814,10000,0
388,324,25663,28073,14711,499042,0.879683,10000,0
427,363,25692,27857,15919,263797,0.880677,10000,0
469,405,25824,28342,14044,268918,0.885202,10000,0
516,452,26311,28692,15364,447793,0.901896,10000,0
568,504,26367,28901,14403,295348,0.903815,10000,0
625,561,25879,28236,15449,389043,0.887087,10000,0
687,623,25958,28222,15847,316611,0.889795,10000,0
756,692,26074,28575,15124,243053,0.893772,10000,0
832,768,26226,28840,14123,330772,0.898982,10000,0
915,851,26168,28528,15164,331084,0.896994,10000,0
1007,943,26454,29474,16610,2941052327,0.906797,10000,0
1107,1043,26777,29504,16687,391269,0.917869,10000,0
1218,1154,26522,28764,16010,465249,0.909128,10000,0
1340,1276,26576,28778,15545,274199,0.910979,10000,0
1400,1336,26551,28852,16434,462021,0.910122,10000,0
