total_size_bytes,flood_size_bytes,median_latency_ns,mean_latency_ns,min_latency_ns,max_latency_ns,amp_vs_normal,valid_runs,crashed_runs,recursion_depth
# normal_baseline,325,181610,187131,170740,674940
# poc_baseline,353,754384,761090,738328,1046122
# poc_vs_normal_ratio_median,4.15387
353,289,754643,762169,736254,1103417,4.15529,10000,0,144
388,324,832845,839709,813178,1070843,4.5859,10000,0,162
427,363,921214,928431,903307,1217952,5.07248,10000,0,181
469,405,1017695,1024672,994435,1312859,5.60374,10000,0,202
516,452,1124026,1131395,1098896,1374505,6.18923,10000,0,226
568,504,1242432,1249454,1215081,1511578,6.84121,10000,0,252
625,561,1373689,1379934,1343060,1632205,7.56395,10000,0,280
687,623,1514502,1520702,1471465,1904739,8.33931,10000,0,311
756,692,1672684,1676632,1626519,2001292,9.21031,10000,0,346
832,768,1847683,1849912,1800331,2132994,10.1739,10000,0,384
915,851,2038717,2039525,1986439,2281177,11.2258,10000,0,425
1007,943,2246603,2247235,2178270,2564173,12.3705,10000,0,471
1107,1043,2475904,2476266,2410904,2812808,13.6331,10000,0,521
1218,1154,2728252,2730406,2658252,3075101,15.0226,10000,0,577
1340,1276,3005550,3007224,2925346,3353286,16.5495,10000,0,638
1400,1336,3142880,3144714,3061194,3452765,17.3057,10000,0,668
