mode,rate,filter_mode,total_sent,received_pkts,dropped_pkts,drop_rate_pct,total_inspected,inspection_rate_pct,malware_count,tp,tn,fp,fn,fpr_pct,fnr_pct,cpu_time_sec,peak_rss_kb,out_filename
2,0.1,2,1000000,1000000,0,0,1000000,100,718,718,999282,0,0,0,0,77.6944,34556,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode2_full100.csv
2,10,2,1000000,995795,4205,0.4205,995795,100,75012,75012,920783,0,0,0,0,75.3078,34632,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode2_full100.csv
2,0.1,1,1000000,999901,99,0.0099,210908,21.0929,744,233,999157,0,511,0,68.6828,69.2808,35160,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode2_filtered.csv
2,10,1,1000000,995601,4399,0.4399,552970,55.5413,75272,75242,920329,0,30,0,0.0398555,68.8729,35160,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode2_filtered.csv
0,0.1,3,1000000,1000000,0,0,776760,77.676,988,762,999012,0,226,0,22.8745,76.4556,45280,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode0_onnx.csv
0,0.5,3,1000000,995530,4470,0.447,987858,99.2294,5080,5034,990450,0,46,0,0.905512,74.3772,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.5_mode0_onnx.csv
0,1,3,1000000,995658,4342,0.4342,994562,99.8899,10039,10029,985619,0,10,0,0.0996115,77.7662,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode0_onnx.csv
0,5,3,1000000,995837,4163,0.4163,995808,99.9971,49822,49819,946015,0,3,0,0.00602144,78.0407,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode0_onnx.csv
0,10,3,1000000,995721,4279,0.4279,995332,99.9609,99908,99862,895813,0,46,0,0.0460424,76.9779,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode0_onnx.csv
1,0.1,3,1000000,995799,4201,0.4201,465565,46.7529,411,367,995388,0,44,0,10.7056,75.5646,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode1_onnx.csv
1,0.5,3,1000000,995730,4270,0.427,508130,51.0309,1986,1970,993744,0,16,0,0.805639,71.6615,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.5_mode1_onnx.csv
1,1,3,1000000,995662,4338,0.4338,505193,50.7394,3965,3965,991697,0,0,0,0,72.1736,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode1_onnx.csv
1,5,3,1000000,995653,4347,0.4347,539685,54.2041,19953,19946,975700,0,7,0,0.0350824,75.6666,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode1_onnx.csv
1,10,3,1000000,995776,4224,0.4224,535809,53.8082,40349,40340,955427,0,9,0,0.0223054,76.1126,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode1_onnx.csv
2,0.1,3,1000000,995711,4289,0.4289,655817,65.8642,740,617,994971,0,123,0,16.6216,74.0165,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode2_onnx.csv
2,0.5,3,1000000,995628,4372,0.4372,734554,73.778,3621,3583,992007,0,38,0,1.04943,73.6956,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.5_mode2_onnx.csv
2,1,3,1000000,995713,4287,0.4287,738581,74.1761,7437,7435,988276,0,2,0,0.0268926,74.5663,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode2_onnx.csv
2,5,3,1000000,995658,4342,0.4342,735727,73.8935,37635,37623,958023,0,12,0,0.0318852,70.9177,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode2_onnx.csv
2,10,3,1000000,994285,5715,0.5715,739020,74.3268,74773,74765,919512,0,8,0,0.010699,77.2177,45580,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode2_onnx.csv
0,1,0,1000000,1000000,0,0,0,0,9943,0,990057,0,9943,0,100,80.3732,34964,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode0.csv
0,5,0,1000000,995602,4398,0.4398,0,0,49678,0,945924,0,49678,0,100,96.7575,34964,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode0.csv
0,10,0,1000000,995712,4288,0.4288,0,0,99839,0,895873,0,99839,0,100,127.035,34964,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode0.csv
2,10,3,1000000,1000000,0,0,758098,75.8098,75087,75077,924913,0,10,0,0.0133179,72.4817,45504,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode2_onnx.csv
2,0.1,3,1000000,999868,132,0.0132,671984,67.2073,732,629,999136,0,103,0,14.071,72.5634,45472,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode2_onnx.csv
0,1,0,1000000,1000000,0,0,0,0,9917,0,990083,0,9917,0,100,70.6729,34976,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode0.csv
0,5,0,1000000,995586,4414,0.4414,0,0,50324,0,945262,0,50324,0,100,97.7645,34976,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode0.csv
0,10,0,1000000,995624,4376,0.4376,0,0,99892,0,895732,0,99892,0,100,124.574,34976,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode0.csv
0,0.1,3,1000000,1000000,0,0,783952,78.3952,1013,802,998987,0,211,0,20.8292,77.8849,45304,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode0_onnx.csv
0,0.5,3,1000000,995624,4376,0.4376,986562,99.0898,4978,4930,990646,0,48,0,0.964243,80.5991,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.5_mode0_onnx.csv
0,1,3,1000000,995499,4501,0.4501,995481,99.9982,9976,9976,985523,0,0,0,0,79.3965,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_1.0_mode0_onnx.csv
0,5,3,1000000,995528,4472,0.4472,995501,99.9973,50108,50105,945420,0,3,0,0.00598707,78.8602,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_5.0_mode0_onnx.csv
0,10,3,1000000,995619,4381,0.4381,995500,99.988,98997,98986,896622,0,11,0,0.0111114,82.777,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_10.0_mode0_onnx.csv
1,0.1,3,1000000,995494,4506,0.4506,482232,48.4415,371,339,995123,0,32,0,8.62534,70.1137,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.1_mode1_onnx.csv
1,0.5,3,1000000,995651,4349,0.4349,494379,49.6538,2056,2049,993595,0,7,0,0.340467,78.1652,45620,/home/pi/workspaces/yhl/adam-v2x/outputs/csv_raw/unpatched/qos_attack_0.5_mode1_onnx.csv
