mode,filter_type,rate_%,build_type,trials,mean_latency_ms,std_latency_ms,mean_p99_ms,std_p99_ms,mean_p999_ms,std_p999_ms,mean_sampling_%,std_sampling_%,mean_fnr_%,std_fnr_%,mean_fpr_%,std_fpr_%,mean_cpu_s,std_cpu_s,add_cpu_s,mean_ram_mb,std_ram_mb
mode0,baseline,0.0,unpatched,20,0.036777588737023706,0.00012781696241732338,0.053454909500000015,0.00011170700993294702,0.07869700795000885,0.003960063191673017,0.0,0.0,0.0,0.0,0.0,0.0,70.2014,0.1981,0.0,11.04,0.04
mode0,codel_aqm,1.0,unpatched,20,0.0727497679409286,0.0004161629609127857,1.7505252555000077,0.07481350551146529,2.784300443450028,0.006378605711183893,99.999995,2.2360679775740193e-05,100.0,0.0,0.0,0.0,80.4014,0.1197,10.2,11.2,0.1
mode0,codel_aqm,5.0,unpatched,20,0.2030071669806981,0.0007767537619341097,2.5323693285000006,0.005581645705634141,3.539134299050077,0.02689307092112765,100.0,0.0,100.0,0.0,0.0,0.0,116.4809,0.2062,46.2796,11.22,0.0
mode0,codel_aqm,10.0,unpatched,20,0.3604482694437444,0.0012126271577607515,2.9333481600000013,0.010966720598781593,4.3327300968501,0.057315920386105224,100.0,0.0,100.0,0.0,0.0,0.0,156.7476,0.1947,86.5462,11.22,0.0
mode0,onnx_drl,0.1,unpatched,20,0.04346481168766877,0.0001446017443595216,0.06343912000000002,0.0009383464066111187,0.14607863570002327,0.011413684636852396,82.204175,0.4620837391357578,17.98444575527642,1.287946759043136,0.0,0.0,76.8329,0.0877,6.6316,21.97,0.16
mode0,onnx_drl,0.5,unpatched,20,0.044346701895989604,0.0001895083967071371,0.06490487800000003,0.0006551581567321175,0.1219825920000059,0.0030051756508770173,98.31593500000001,0.1367712661228287,1.6159477565297418,0.19462823662990786,0.0,0.0,77.7675,0.2656,7.5661,22.01,0.0
mode0,onnx_drl,1.0,unpatched,20,0.04398931188488849,9.566337373957818e-05,0.06402739500000003,0.0024213507250260666,0.11010178700000521,0.005109849867899039,99.91849,0.02661795792713197,0.0908002190171996,0.035384256104614736,0.0,0.0,77.7622,0.0476,7.5608,22.01,0.0
mode0,onnx_drl,5.0,unpatched,20,0.042949700890089,0.0001578526985216881,0.06478742850000002,0.0007931045131053915,0.10296353865000332,0.0025121222382320195,99.998955,0.0011033322732825937,0.0016994772583868675,0.002537457734435106,0.0,0.0,76.757,0.0781,6.5557,22.01,0.0
mode0,onnx_drl,10.0,unpatched,20,0.04137631966486648,0.0001497104695311266,0.06415392100000003,0.0008848200573586706,0.09926628975000208,0.0021953113030107997,99.999425,0.0008717043197395093,0.000699082676739472,0.0013386572897425516,0.0,0.0,75.2313,0.0698,5.0299,22.01,0.0
mode0,unpatched_native,1.0,unpatched,20,0.07466120174027403,0.0005926338320114897,1.766925196500008,0.09016161071758286,2.8540284943000374,0.01677553929714115,0.0,0.0,100.0,0.0,0.0,0.0,80.6729,0.3925,10.4715,11.07,0.1
mode0,unpatched_native,5.0,unpatched,20,0.2112586152369737,0.002371754608062912,2.6050418830000006,0.01835718002443505,3.64997874475008,0.03884206959936878,0.0,0.0,100.0,0.0,0.0,0.0,117.6158,0.4969,47.4145,11.09,0.0
mode0,unpatched_native,10.0,unpatched,20,0.37617376802850283,0.005171352141245007,3.0290301995000006,0.034247696077200886,4.4699432621000925,0.07898348602366495,0.0,0.0,100.0,0.0,0.0,0.0,158.6881,0.6981,88.4867,11.09,0.0
mode1,onnx_drl,0.1,unpatched,20,0.042094906942994295,0.0001418606812696599,0.06001141850000001,0.00033325308559040276,0.1045553112500051,0.003123207889398063,72.346285,0.1703272060816415,19.352871880362667,3.8662273606156883,0.0,0.0,75.9655,0.0684,5.7641,22.01,0.0
mode1,onnx_drl,0.5,unpatched,20,0.042261994910041005,0.00019900430140982507,0.06057267750000004,0.0005602921528225106,0.10273143040000568,0.0024659007489516607,75.620845,0.062346016417715366,1.840610805363982,0.6160870414000915,0.0,0.0,76.0914,0.2553,5.89,22.01,0.0
mode1,onnx_drl,1.0,unpatched,20,0.04220099870662066,0.00012686397315192513,0.06052081900000002,0.00041094682264383167,0.10019789420000343,0.002488917010041569,75.94767500000002,0.03814701305820871,0.07964711426161736,0.07592185467219002,0.0,0.0,76.1607,0.0657,5.9593,22.01,0.0
mode1,onnx_drl,5.0,unpatched,20,0.04199256522442245,0.0001335448590007025,0.06062993700000002,0.00044958191750605106,0.09932533150000442,0.0012243582228523642,75.96444,0.03833389869911204,0.0049748958027064204,0.0068458251062797505,0.0,0.0,75.98,0.0515,5.7786,22.01,0.0
mode1,onnx_drl,10.0,unpatched,20,0.041725909352485255,0.00011916876985949361,0.060448537000000045,0.0012598868090849687,0.0989405098500035,0.0017579538672535453,75.96516,0.038561780915416094,0.0009956384976249656,0.002043047594262914,0.0,0.0,75.7091,0.0819,5.5078,22.01,0.0
mode2,fsm_only,0.1,unpatched,20,0.04024843568721873,0.00015631993106127295,0.0588161,0.00022770638989716554,0.5910261046501532,0.037294764882067524,16.51656,1.1435814924589929,76.60571558576189,4.075683566798393,0.0,0.0,72.5874,0.4737,2.3861,11.07,0.1
mode2,fsm_only,10.0,unpatched,20,0.041010829675617554,0.0001849370921268877,0.0601677005,0.00032419377945386226,0.09690754925000342,0.0027090111432215656,55.21328,0.02416266367330845,0.07473329875854078,0.03688548422666164,0.0,0.0,74.154,0.2557,3.9527,11.09,0.0
mode2,onnx_drl,0.1,unpatched,20,0.04255283333678368,0.0001226587637256098,0.06117811900000002,0.0005069352599785155,0.11487393035000637,0.003624845653954759,76.018735,0.28299783944683843,17.344512200394934,2.10168855451608,0.0,0.0,76.2907,0.0999,6.0893,22.01,0.0
mode2,onnx_drl,0.5,unpatched,20,0.04306994480313031,0.00013161891670416195,0.06179576800000001,0.000763823864662124,0.11027840520000495,0.003932071917323314,84.16951,0.10261818808727746,1.674646507163994,0.31673722059434495,0.0,0.0,76.7942,0.0709,6.5928,21.94,0.3
mode2,onnx_drl,1.0,unpatched,20,0.04287429926322633,0.00013240756200018388,0.06185871900000003,0.0005598479457937425,0.10380657425000692,0.0033453699320862102,84.97412,0.034847934319209344,0.09555480728413565,0.051605415212782314,0.0,0.0,76.6861,0.2083,6.4848,21.98,0.11
