total_size_bytes,flood_size_bytes,median_latency_ns,mean_latency_ns,min_latency_ns,max_latency_ns,amp_vs_normal,valid_runs,crashed_runs
# normal_baseline,325,28982,31910,25450,310512
# poc_baseline,353,17942,19512,15406,239388
# poc_vs_normal_ratio_median,0.619074
353,289,25124,27607,21258,1166842,0.866883,10000,0
388,324,24946,26923,22135,192912,0.860741,10000,0
427,363,24802,26808,22155,257915,0.855773,10000,0
469,405,25082,26941,21153,238700,0.865434,10000,0
516,452,25021,26875,22176,254247,0.863329,10000,0
568,504,25629,27692,22407,230824,0.884308,10000,0
625,561,25373,27393,22447,167156,0.875474,10000,0
687,623,25321,27396,22607,357853,0.87368,10000,0
756,692,25401,27423,20927,262483,0.876441,10000,0
832,768,25834,28124,22649,216946,0.891381,10000,0
915,851,25767,27972,22648,232042,0.889069,10000,0
1007,943,25811,28062,22723,328648,0.890587,10000,0
1107,1043,25996,28153,21505,203354,0.896971,10000,0
1218,1154,26177,28475,22934,200125,0.903216,10000,0
1340,1276,26067,28341,22531,374080,0.89942,10000,0
1400,1336,26194,28385,21784,260121,0.903802,10000,0
