Scenario,Mean_ms,Median_ms,P99_ms,Max_ms,FPR (%),FNR (%)
Baseline (Optimal),0.0195,0.015,0.0351,3639.0552,N/A,N/A
Native Parser (1.0%),0.0222,0.0154,0.1569,3618.0046,N/A,N/A
Native Parser (5.0%),0.027,0.0151,0.1708,3579.8199,N/A,N/A
Native Parser (10.0%),0.0349,0.0156,0.181,3599.6938,N/A,N/A
Filter Admitted (1.0%),0.0459,0.0392,0.1065,3638.8545,0.0,3.3778
  -> Blocked CPU Cost,0.0013,0.0011,0.0034,0.0859,N/A,N/A
Filter Admitted (5.0%),0.0447,0.0386,0.0875,3636.3247,0.0,0.0
  -> Blocked CPU Cost,0.001,0.0009,0.0018,0.1147,N/A,N/A
Filter Admitted (10.0%),0.0448,0.0384,0.0874,3604.0059,0.0,0.0
  -> Blocked CPU Cost,0.0009,0.0008,0.0017,0.2009,N/A,N/A
