packet_id,is_malware,latency_ns
0,1,17384468
1,0,62585
2,0,18178
3,0,14467
4,0,14061
5,0,14295
6,0,14021
7,0,13800
8,0,13361
9,0,13433
10,0,13778
11,0,13716
12,0,14003
13,0,13417
14,0,13631
15,0,13528
16,0,13835
17,0,13687
18,0,13330
19,0,13805
20,1,164479
21,0,18852
22,0,13872
23,0,17971
24,0,14968
25,0,13673
26,0,13673
27,0,13957
28,0,14562
29,0,18759
30,0,14058
31,0,13935
32,0,13770
33,0,36565
34,0,15374
35,0,14865
36,0,14514
37,0,13795
38,0,14005
39,0,13677
40,1,142488
41,0,13843
42,0,15231
43,0,15208
44,0,14943
45,0,14628
46,0,14971
47,0,15015
48,0,14800
49,0,16221
50,0,15859
51,0,20798
52,0,17944
53,0,16368
54,0,15682
55,0,15780
56,0,16283
57,0,15765
58,0,15867
59,0,16063
60,1,158916
61,0,15897
62,0,15767
63,0,15988
64,0,15717
65,0,15871
66,0,15724
67,0,16332
68,0,16273
69,0,15646
70,0,14959
71,0,14723
72,0,14723
73,0,14698
74,0,15001
75,0,15104
76,0,15147
77,0,14960
78,0,14897
79,0,14994
80,1,165301
81,0,19455
82,0,15410
83,0,15189
84,0,14900
85,0,15017
86,0,14952
87,0,15147
88,0,14641
89,0,14798
90,0,14642
91,0,15099
92,0,14668
93,0,15233
94,0,14802
95,0,14955
96,0,14147
97,0,13750
98,0,14932
99,0,14979
100,1,148312
101,0,13764
102,0,13692
103,0,13756
104,0,13845
105,0,13756
106,0,13723
107,0,13585
108,0,13643
109,0,13842
110,0,13773
111,0,54403
112,0,15814
113,0,14182
114,0,13667
115,0,13733
116,0,14471
117,0,15082
118,0,14574
119,0,14453
120,1,152305
121,0,15599
122,0,14869
123,0,14616
124,0,15266
125,0,14867
126,0,14788
127,0,14781
128,0,14496
129,0,14861
130,0,14686
131,0,14572
132,0,15356
133,0,14849
134,0,15130
135,0,14686
136,0,14978
137,0,14852
138,0,14760
139,0,14994
140,1,162862
141,0,19061
142,0,14889
143,0,15321
144,0,14804
145,0,15172
146,0,15157
147,0,14792
148,0,15028
149,0,14839
150,0,14713
151,0,14854
152,0,15125
153,0,15034
154,0,16643
155,0,14923
156,0,15260
157,0,14869
158,0,14890
159,0,14846
160,1,149559
161,0,16995
162,0,15246
163,0,14170
164,0,14130
165,0,13977
166,0,14058
167,0,13865
168,0,13966
169,0,13956
170,0,14251
171,0,21239
172,0,18105
173,0,16119
174,0,15217
175,0,14116
176,0,13825
177,0,14098
178,0,14384
179,0,13564
180,1,141194
181,0,14365
182,0,14310
183,0,14282
184,0,13853
185,0,13633
186,0,13894
187,0,13633
188,0,13898
189,0,13994
190,0,13801
191,0,13648
192,0,14052
193,0,13662
194,0,13776
195,0,13754
196,0,13880
197,0,13821
198,0,14127
199,0,13567
200,1,140041
201,0,14488
202,0,23694
203,0,15609
204,0,14092
205,0,13961
206,0,13858
207,0,13829
208,0,13968
209,0,13786
210,0,14132
211,0,13567
212,0,13611
213,0,13373
214,0,13576
215,0,13869
216,0,14266
217,0,13542
218,0,13761
219,0,18157
220,1,141716
221,0,16423
222,0,14667
223,0,14268
224,0,14056
225,0,14066
226,0,13733
227,0,14144
228,0,14154
229,0,13673
230,0,14124
231,0,13782
232,0,13915
233,0,14099
234,0,13963
235,0,13471
236,0,13880
237,0,13523
238,0,17667
239,0,14453
240,1,141012
241,0,14616
242,0,13901
243,0,13777
244,0,14282
245,0,13909
246,0,13762
247,0,13850
248,0,13742
249,0,13910
250,0,13636
251,0,13988
252,0,13841
253,0,13770
254,0,13549
255,0,14281
256,0,13623
257,0,13655
258,0,19630
259,0,14016
260,1,143578
261,0,15884
262,0,16177
263,0,15907
264,0,15424
265,0,31451
266,0,23151
267,0,20633
268,0,18170
269,0,16186
270,0,15657
271,0,16355
272,0,14924
273,0,14857
274,0,16149
275,0,15678
276,0,15929
277,0,15685
278,0,15777
279,0,16038
280,1,161337
281,0,16465
282,0,16030
283,0,15311
284,0,15942
285,0,15716
286,0,15916
287,0,16035
288,0,15890
289,0,20802
290,0,16627
291,0,16008
292,0,15610
293,0,15466
294,0,15800
295,0,15654
296,0,15279
297,0,50232
298,0,29653
299,0,27643
300,1,163391
301,0,22085
302,0,17928
303,0,16626
304,0,16074
305,0,15979
306,0,16089
307,0,15784
308,0,16079
309,0,16378
310,0,15910
311,0,16020
312,0,15862
313,0,15905
314,0,16186
315,0,16076
316,0,16047
317,0,16089
318,0,15870
319,0,16146
320,1,170523
321,0,20228
322,0,16616
323,0,16419
324,0,16227
325,0,16342
326,0,15904
327,0,15852
328,0,15784
329,0,15748
330,0,15558
331,0,15627
332,0,16119
333,0,16046
334,0,16112
335,0,15865
336,0,15900
337,0,16015
338,0,15968
339,0,15956
340,1,161874
341,0,16360
342,0,15843
343,0,15997
344,0,15690
345,0,16277
346,0,15710
347,0,16141
348,0,15751
349,0,15603
350,0,16187
351,0,22751
352,0,17857
353,0,15244
354,0,15393
355,0,15938
356,0,15772
357,0,15664
358,0,15772
359,0,16051
360,1,162007
361,0,16392
362,0,16464
363,0,15947
364,0,16452
365,0,14497
366,0,14651
367,0,14798
368,0,14414
369,0,14949
370,0,13757
371,0,13966
372,0,13923
373,0,13877
374,0,13518
375,0,13696
376,0,13684
377,0,13615
378,0,13650
379,0,13609
380,1,150058
381,0,17448
382,0,14845
383,0,14072
384,0,14176
385,0,13974
386,0,13831
387,0,13699
388,0,14246
389,0,13942
390,0,13852
391,0,13562
392,0,13778
393,0,13547
394,0,13811
395,0,13805
396,0,13774
397,0,13823
398,0,13837
399,0,13845
400,1,146720
401,0,17349
402,0,13688
403,0,13936
404,0,14165
405,0,13570
406,0,13922
407,0,13665
408,0,13508
409,0,13541
410,0,13577
411,0,14012
412,0,13753
413,0,14032
414,0,358888
415,0,51242
416,0,81220
417,0,37223
418,0,30545
419,0,29513
420,1,340938
421,0,26102
422,0,16378
423,0,16254
424,0,15605
425,0,16227
426,0,15936
427,0,14769
428,0,14570
429,0,14603
430,0,14447
431,0,15092
432,0,14764
433,0,14519
434,0,14950
435,0,14593
436,0,14793
437,0,14601
438,0,15584
439,0,15718
440,1,182009
441,0,16269
442,0,16251
443,0,15682
444,0,16026
445,0,16016
446,0,17317
447,0,15001
448,0,15598
449,0,16065
450,0,17497
451,0,20029
452,0,16724
453,0,17486
454,0,17080
455,0,17261
456,0,16552
457,0,16998
458,0,17852
459,0,19275
460,1,170149
461,0,30814
462,0,18009
463,0,19370
464,0,17711
465,0,20267
466,0,19987
467,0,18567
468,0,16352
469,0,17193
470,0,17061
471,0,15286
472,0,15717
473,0,16338
474,0,17139
475,0,15871
476,0,17502
477,0,16120
478,0,17262
479,0,17319
480,1,175081
481,0,24833
482,0,17161
483,0,19964
484,0,18529
485,0,17297
486,0,16577
487,0,16728
488,0,17092
489,0,16904
490,0,17776
491,0,17161
492,0,17457
493,0,17166
494,0,15759
495,0,17120
496,0,17671
497,0,15879
498,0,17529
499,0,16785
500,1,169946
501,0,120962
502,0,19122
503,0,14745
504,0,14635
505,0,14213
506,0,23229
507,0,15738
508,0,14989
509,0,13962
510,0,14217
511,0,15241
512,0,14919
513,0,15352
514,0,15407
515,0,14185
516,0,14666
517,0,15029
518,0,142539
519,0,51999
520,1,270164
521,0,33702
522,0,29948
523,0,23413
524,0,23449
525,0,22979
526,0,23216
527,0,23013
528,0,22524
529,0,22321
530,0,22376
531,0,22129
532,0,19070
533,0,15876
534,0,15891
535,0,15903
536,0,15924
537,0,15799
538,0,17676
539,0,15882
540,1,161439
541,0,16372
542,0,15784
543,0,15718
544,0,20531
545,0,18099
546,0,17610
547,0,18483
548,0,15103
549,0,14745
550,0,15004
551,0,15306
552,0,15014
553,0,14855
554,0,15036
555,0,14851
556,0,14586
557,0,14827
558,0,14582
559,0,14323
560,1,291054
561,0,35867
562,0,17401
563,0,14769
564,0,14011
565,0,13717
566,0,29003
567,0,17585
568,0,16010
569,0,15632
570,0,15376
571,0,15458
572,0,14993
573,0,15037
574,0,14956
575,0,14633
576,0,14437
577,0,14673
578,0,14770
579,0,14713
580,1,157439
581,0,14993
582,0,14819
583,0,14676
584,0,14856
585,0,14882
586,0,14706
587,0,14509
588,0,14512
589,0,14872
590,0,14692
591,0,14609
592,0,14679
593,0,14660
594,0,14787
595,0,14844
596,0,14273
597,0,14950
598,0,14822
599,0,22801
600,1,152186
601,0,20743
602,0,17870
603,0,17582
604,0,16683
605,0,15611
606,0,15300
607,0,15083
608,0,14902
609,0,15018
610,0,15455
611,0,15921
612,0,15863
613,0,16535
614,0,15765
615,0,16217
616,0,16039
617,0,17122
618,0,16117
619,0,15828
620,1,161840
621,0,17120
622,0,16491
623,0,30099
624,0,23543
625,0,19834
626,0,18018
627,0,16825
628,0,18472
629,0,18640
630,0,17557
631,0,39317
632,0,22008
633,0,18309
634,0,18235
635,0,16544
636,0,17182
637,0,16710
638,0,18588
639,0,18469
640,1,165622
641,0,23251
642,0,16890
643,0,17522
644,0,16650
645,0,16263
646,0,17177
647,0,16884
648,0,16772
649,0,18055
650,0,27483
651,0,21949
652,0,20168
653,0,19146
654,0,16913
655,0,16438
656,0,17500
657,0,16838
658,0,17658
659,0,17233
660,1,165132
661,0,28838
662,0,17958
663,0,18245
664,0,19246
665,0,19228
666,0,16852
667,0,17336
668,0,17492
669,0,16929
670,0,16269
671,0,15988
672,0,16673
673,0,17340
674,0,16477
675,0,17069
676,0,17197
677,0,16627
678,0,29553
679,0,23740
680,1,164515
681,0,24968
682,0,17723
683,0,17151
684,0,16562
685,0,16838
686,0,25933
687,0,18807
688,0,16403
689,0,16789
690,0,16458
691,0,17576
692,0,16395
693,0,16908
694,0,16076
695,0,16262
696,0,16533
697,0,15983
698,0,17108
699,0,16854
700,1,178237
701,0,25754
702,0,17772
703,0,17119
704,0,15961
705,0,16003
706,0,16633
707,0,16255
708,0,16634
709,0,16033
710,0,15807
711,0,15323
712,0,16033
713,0,15745
714,0,16539
715,0,16100
716,0,16072
717,0,15868
718,0,16380
719,0,15735
720,1,163552
721,0,17362
722,0,16034
723,0,15841
724,0,15989
725,0,16189
726,0,15958
727,0,21418
728,0,21398
729,0,18842
730,0,17894
731,0,16337
732,0,15745
733,0,15923
734,0,16939
