packet_id,is_malware,was_dropped,latency_ns
0,1,1,70572
1,1,1,4000
2,1,1,1568
3,1,1,1392
4,1,1,1794
5,1,1,1226
6,1,1,1618
7,1,1,1225
8,1,1,1472
9,1,1,1477
10,1,1,1419
11,1,1,1525
12,1,1,1407
13,1,1,1364
14,1,1,1303
15,1,1,1175
16,1,1,1214
17,1,1,1489
18,1,1,1282
19,1,1,1129
20,1,1,1223
21,1,1,1318
22,1,1,1400
23,1,1,1217
24,1,1,1283
25,1,1,1360
26,1,1,1311
27,1,1,1234
28,1,1,1401
29,1,1,1275
30,1,1,1149
31,1,1,1305
32,1,1,1274
33,1,1,1242
34,1,1,1219
35,1,1,1615
36,1,1,1506
37,1,1,1346
38,1,1,1473
39,1,1,1326
40,1,1,1245
41,1,1,1206
42,1,1,1835
43,1,1,1500
44,1,1,1225
45,1,1,1452
46,1,1,1360
47,1,1,1306
48,1,1,1261
49,1,1,1380
50,1,1,1113
51,1,1,1237
52,1,1,1194
53,1,1,1236
54,1,1,1216
55,1,1,1083
56,1,1,1242
57,1,1,1736
58,1,1,1416
59,1,1,1411
60,1,1,1200
61,1,1,1221
62,1,1,1294
63,1,1,5130
64,1,1,1334
65,1,1,1244
66,1,1,1138
67,1,1,1245
68,1,1,1323
69,1,1,1162
70,1,1,1107
71,1,1,1271
72,1,1,1237
73,1,1,1453
74,1,1,1396
75,1,1,1415
76,1,1,1313
77,1,1,1231
78,1,1,1126
79,1,1,1496
80,1,1,1218
81,1,1,1564
82,1,1,1290
83,1,1,1270
84,1,1,1503
85,1,1,1234
86,1,1,11477
87,1,1,3144
88,1,1,1184
89,1,1,10751
90,1,1,1408
91,1,1,1491
92,1,1,1275
93,1,1,1178
94,1,1,1234
95,1,1,1314
96,1,1,1371
97,1,1,1279
98,1,1,1095
99,1,1,1105
100,1,1,1100
101,1,1,1279
102,1,1,1583
103,1,1,1096
104,1,1,1282
105,1,1,1300
106,1,1,1413
107,1,1,1481
108,1,1,1234
109,1,1,1110
110,1,1,1357
111,1,1,1169
112,1,1,1236
113,1,1,1292
114,1,1,1180
115,1,1,1389
116,1,1,1251
117,1,1,1235
118,1,1,1399
119,1,1,1074
120,1,1,1160
121,1,1,1229
122,1,1,1653
123,1,1,1251
124,1,1,1297
125,1,1,1094
126,1,1,1067
127,1,1,1522
128,1,1,1245
129,1,1,1281
130,1,1,1271
131,1,1,1350
132,1,1,1375
133,1,1,1489
134,1,1,1190
135,1,1,1135
136,1,1,1188
137,1,1,1380
138,1,1,1378
139,1,1,1294
140,1,1,1449
141,1,1,1442
142,1,1,1319
143,1,1,1088
144,1,1,1089
145,1,1,1053
146,1,1,1170
147,1,1,1226
148,1,1,1051
149,1,1,1046
150,1,1,1200
151,1,1,1244
152,1,1,1292
153,1,1,1412
154,1,1,1330
155,1,1,1273
156,1,1,1284
157,1,1,1155
158,1,1,1214
159,1,1,1193
160,1,1,1250
161,1,1,1398
162,1,1,1489
163,1,1,1206
164,1,1,1257
165,1,1,1555
166,1,1,1757
167,1,1,1354
168,1,1,1172
169,1,1,1218
170,1,1,4525
171,1,1,1423
172,1,1,1683
173,1,1,1572
174,1,1,1231
175,1,1,1237
176,1,1,1273
177,1,1,1561
178,1,1,1217
179,1,1,1244
180,1,1,1206
181,1,1,1579
182,1,1,1402
183,1,1,1237
184,1,1,1380
185,1,1,1286
186,1,1,1423
187,1,1,1220
188,1,1,1064
189,1,1,1156
190,1,1,1276
191,1,1,1249
192,1,1,1250
193,1,1,1582
194,1,1,1273
195,1,1,1393
196,1,1,1260
197,1,1,1216
198,1,1,1195
199,1,1,1369
200,1,1,1285
201,1,1,1421
202,1,1,1285
203,1,1,1237
204,1,1,1413
205,1,1,1298
206,1,1,1485
207,1,1,1369
208,1,1,1872
209,1,1,1395
210,1,1,1096
211,1,1,1079
212,1,1,1125
213,1,1,1574
214,1,1,1328
215,1,1,1750
216,1,1,1411
217,1,1,1341
218,1,1,1246
219,1,1,1253
220,1,1,1424
221,1,1,1630
222,1,1,1801
223,1,1,1238
224,1,1,1499
225,1,1,1246
226,1,1,1202
227,1,1,1137
228,1,1,1387
229,1,1,1278
230,1,1,1236
231,1,1,1247
232,1,1,1255
233,1,1,1280
234,1,1,1273
235,1,1,1334
236,1,1,1576
237,1,1,1211
238,1,1,1265
239,1,1,1529
240,1,1,1407
241,1,1,1683
242,1,1,1281
243,1,1,1312
244,1,1,1287
245,1,1,1205
246,1,1,1252
247,1,1,1399
248,1,1,1429
249,1,1,1303
250,1,1,1337
251,1,1,1179
252,1,1,1554
253,1,1,1299
254,1,1,1163
255,1,1,1235
256,1,1,1227
257,1,1,1366
258,1,1,1520
259,1,1,1370
260,1,1,1232
261,1,1,1204
262,1,1,1311
263,1,1,1238
264,1,1,1310
265,1,1,1159
266,1,1,1202
267,1,1,1374
268,1,1,1394
269,1,1,1259
270,1,1,1185
271,1,1,1220
272,1,1,1488
273,1,1,1111
274,1,1,1186
275,1,1,1235
276,1,1,1210
277,1,1,1387
278,1,1,1656
279,1,1,1262
280,1,1,1848
281,1,1,1271
282,1,1,1125
283,1,1,1135
284,1,1,1217
285,1,1,1177
286,1,1,1224
287,1,1,1229
288,1,1,1180
289,1,1,1177
290,1,1,1133
291,1,1,1198
292,1,1,1419
293,1,1,1271
294,1,1,1337
295,1,1,1156
296,1,1,1600
297,1,1,1307
298,1,1,1188
299,1,1,1156
300,1,1,1308
301,1,1,1666
302,1,1,1303
303,1,1,1091
304,1,1,1336
305,1,1,1272
306,1,1,1313
307,1,1,1237
308,1,1,1133
309,1,1,1419
310,1,1,1372
311,1,1,1383
312,1,1,1148
313,1,1,1135
314,1,1,1208
315,1,1,1736
316,1,1,1256
317,1,1,1205
318,1,1,1428
319,1,1,1151
320,1,1,1271
321,1,1,1382
322,1,1,1303
323,1,1,1505
324,1,1,1404
325,1,1,1157
326,1,1,1200
327,1,1,1230
328,1,1,1152
329,1,1,1403
330,1,1,1089
331,1,1,1627
332,1,1,1376
333,1,1,1250
334,1,1,1226
335,1,1,1126
336,1,1,1341
337,1,1,1193
338,1,1,1241
339,1,1,1214
340,1,1,1608
341,1,1,3939
342,1,1,1200
343,1,1,1133
344,1,1,1423
345,1,1,1155
346,1,1,1305
347,1,1,1173
348,1,1,1249
349,1,1,1451
350,1,1,1206
351,1,1,1402
352,1,1,1314
353,1,1,1278
354,1,1,1267
355,1,1,1135
356,1,1,1084
357,1,1,1352
358,1,1,1286
359,1,1,1284
360,1,1,1133
361,1,1,1297
362,1,1,1244
363,1,1,1701
364,1,1,1243
365,1,1,1197
366,1,1,1292
367,1,1,1350
368,1,1,1258
369,1,1,1321
370,1,1,1207
371,1,1,1439
372,1,1,1485
373,1,1,1129
374,1,1,1278
375,1,1,1289
376,1,1,1159
377,1,1,1324
378,1,1,1267
379,1,1,1205
380,1,1,1271
381,1,1,1230
382,1,1,1358
383,1,1,1246
384,1,1,1205
385,1,1,1460
386,1,1,1247
387,1,1,1222
388,1,1,1273
389,1,1,1113
