packet_id,is_malware,latency_ns
0,0,55860
1,0,20826
2,0,22242
3,0,17171
4,0,16210
5,0,15740
6,0,20031
7,0,20965
8,0,16408
9,0,15832
10,0,15632
11,0,15311
12,0,15323
13,0,15654
14,0,16128
15,0,15335
16,0,20487
17,0,28182
18,0,16872
19,0,15996
20,0,15420
21,0,15317
22,0,15432
23,0,15441
24,0,15943
25,0,15834
26,0,15365
27,0,15967
28,0,15655
29,0,16284
30,0,15478
31,0,15719
32,0,15807
33,0,15222
34,0,14889
35,0,14971
36,0,14581
37,0,16735
38,0,20954
39,0,19577
40,0,17567
41,0,16904
42,0,15446
43,0,15302
44,0,15951
45,0,15896
46,0,15830
47,0,15390
48,0,15554
49,0,15953
50,0,15565
51,0,15440
52,0,15190
53,0,15458
54,0,15604
55,0,15637
56,0,15910
57,0,15473
58,0,15920
59,0,15956
60,0,15759
61,0,15489
62,0,15982
63,0,15898
64,0,15647
65,0,15566
66,0,15962
67,0,15669
68,0,15817
69,0,15830
70,0,15627
71,0,15618
72,0,15842
73,0,15763
74,0,15312
75,0,15486
76,0,15761
77,0,15002
78,0,15440
79,0,15788
80,0,16430
81,0,16547
82,0,15376
83,0,15397
84,0,15766
85,0,17051
86,0,16336
87,0,15699
88,0,16195
89,0,15142
90,0,15238
91,0,14598
92,0,14527
93,0,14096
94,0,14421
95,0,14492
96,0,14320
97,0,14347
98,0,14011
99,0,14594
100,0,14271
101,0,32946
102,0,18101
103,0,16148
104,0,14934
105,0,15388
106,0,14891
107,0,14286
108,0,14747
109,0,14279
110,0,15171
111,0,14806
112,0,23422
113,0,18817
114,0,17634
115,0,16283
116,0,15463
117,0,14415
118,0,14773
119,0,14806
120,0,14576
121,0,14346
122,0,14550
123,0,14699
124,0,15049
125,0,14686
126,0,14681
127,0,14412
128,0,14372
129,0,14684
130,0,14694
131,0,14963
132,0,14482
133,0,14848
134,0,14942
135,0,14617
136,0,14569
137,0,15306
138,0,17578
139,0,14952
140,0,14142
141,0,14512
142,0,14589
143,0,14538
144,0,14418
145,0,14763
146,0,14597
147,0,14281
148,0,14453
149,0,14546
150,0,14790
151,0,14385
152,0,14476
153,0,14516
154,0,14648
155,0,31658
156,0,16078
157,0,15391
158,0,14769
159,0,14623
160,0,14631
161,0,14988
162,0,14719
163,0,14788
164,0,15651
165,0,14408
166,0,14435
167,0,15101
168,0,14795
169,0,15585
170,0,14316
171,0,15482
172,0,15117
173,0,15479
174,0,15871
175,0,15295
176,0,15467
177,0,16030
178,0,14605
179,0,14657
180,0,14037
181,0,14887
182,0,14799
183,0,14475
184,0,17822
185,0,15103
186,0,17778
187,0,15669
188,0,15471
189,0,25261
190,0,20260
191,0,17447
192,0,15663
193,0,15651
194,0,15816
195,0,16297
196,0,15928
197,0,15700
198,0,15306
199,0,15442
200,0,16516
201,0,15382
202,0,15890
203,0,15746
204,0,15878
205,0,16025
206,0,16381
207,0,15490
208,0,15928
209,0,15455
210,0,15815
211,0,15463
212,0,15704
213,0,15528
214,0,15969
215,0,15510
216,0,15709
217,0,15528
218,0,15757
219,0,16364
220,0,16115
221,0,15539
222,0,15661
223,0,15355
224,0,15264
225,0,15712
226,0,15725
227,0,15756
228,0,15221
229,0,15663
230,0,15363
231,0,15472
232,0,15752
233,0,15497
234,0,15615
235,0,16420
236,0,15652
237,0,15780
238,0,15742
239,0,15587
240,0,14331
241,0,14279
242,0,14204
243,0,14461
244,0,14548
245,0,14537
246,0,14483
247,0,14307
248,0,14364
249,0,14437
250,0,15719
251,0,14638
252,0,14277
253,0,14302
254,0,14238
255,0,14451
256,0,14312
257,0,14479
258,0,14375
259,0,14633
260,0,14904
261,0,14411
262,0,14754
263,0,14510
264,0,14584
265,0,14757
266,0,19666
267,0,16524
268,0,14799
269,0,14751
270,0,14627
271,0,14254
272,0,14574
273,0,14528
274,0,14727
275,0,14813
276,0,14724
277,0,14701
278,0,14364
279,0,14517
280,0,14533
281,0,14493
282,0,14409
283,0,14643
284,0,14356
285,0,14502
286,0,14496
287,0,14436
288,0,14642
289,0,14480
290,0,14530
291,0,14773
292,0,14542
293,0,14702
294,0,14882
295,0,14171
296,0,14676
297,0,14687
298,0,14404
299,0,14323
300,0,15487
301,0,14752
302,0,14421
303,0,15565
304,0,15182
305,0,15034
306,0,15456
307,0,15327
308,0,15710
309,0,14381
310,0,14431
311,0,14237
312,0,13919
313,0,14330
314,0,14176
315,0,14374
316,0,14154
317,0,14129
318,0,14556
319,0,14309
320,0,14451
321,0,14115
322,0,14316
323,0,14400
324,0,14404
325,0,14174
326,0,14631
327,0,14721
328,0,14552
329,0,14589
330,0,14924
331,0,14650
332,0,14372
333,0,14845
334,0,14331
335,0,14583
336,0,14270
337,0,14227
338,0,15093
339,0,14509
340,0,14406
341,0,20734
342,0,14668
343,0,14517
344,0,14139
345,0,14103
346,0,19110
347,0,15470
348,0,14653
349,0,14591
350,0,14268
351,0,14696
352,0,14899
353,0,14249
354,0,14571
355,0,14455
356,0,17547
