Scenario,Mean_ms,Median_ms,P99_ms,Max_ms,FPR (%),FNR (%)
Baseline (Optimal),0.0195,0.015,0.0351,3639.0552,N/A,N/A
Native Parser (1.0%),0.0218,0.0154,0.1511,3595.7295,N/A,N/A
Native Parser (5.0%),0.0284,0.0156,0.1772,3593.2124,N/A,N/A
Native Parser (10.0%),0.0362,0.0161,0.189,3630.6823,N/A,N/A
Filter Admitted (1.0%),0.0456,0.0393,0.0982,3617.8558,0.0,2.2519
  -> Blocked CPU Cost,0.0012,0.0011,0.0022,0.0902,N/A,N/A
Filter Admitted (5.0%),0.0462,0.0394,0.0922,3580.8842,0.0,0.0
  -> Blocked CPU Cost,0.001,0.0009,0.0018,0.0856,N/A,N/A
Filter Admitted (10.0%),0.0455,0.0388,0.0899,3613.3061,0.0,0.0
  -> Blocked CPU Cost,0.0009,0.0008,0.0017,0.2583,N/A,N/A
